epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.4378081262111664,0.2873102128505707,0.3755461573600769,1e-04,0.6440896987915039,0.6646970510482788,0.19816936552524567,0.11069053411483765,0.7130505442619324,0.1775951385498047,0.9969632029533386
1,0.5907124280929565,0.42484742403030396,0.20736311376094818,1e-04,0.883197546005249,0.6301316022872925,0.1948356032371521,0.10854529589414597,0.583348274230957,0.15694862604141235,0.046011507511138916
2,0.6540803909301758,0.4922275245189667,0.1590241640806198,1e-04,0.9260453581809998,0.6281900405883789,0.19927406311035156,0.11122233420610428,0.5008213520050049,0.12108177691698074,0.027626559138298035
3,0.6847074627876282,0.5263428688049316,0.14039915800094604,1e-04,0.937667727470398,0.6292629241943359,0.22786791622638702,0.12918002903461456,0.4303523600101471,0.5768911838531494,0.1465759426355362
4,0.715010941028595,0.5624617338180542,0.12260603159666061,1e-04,0.946037232875824,0.6440830230712891,0.268533855676651,0.1562943011522293,0.5176828503608704,0.5540642738342285,0.4990515410900116
5,0.7322929501533508,0.5833799242973328,0.11306838691234589,1e-04,0.949353814125061,0.6492939591407776,0.27594587206840515,0.16136117279529572,0.542853057384491,0.4138193726539612,0.4743667244911194
6,0.7447794675827026,0.5988824963569641,0.10627300292253494,1e-04,0.9513344764709473,0.6519159078598022,0.2983545660972595,0.17697842419147491,0.7184144854545593,0.31478452682495117,0.68693608045578
7,0.7560117244720459,0.6130964159965515,0.10065890848636627,1e-04,0.9527738094329834,0.6560887098312378,0.3604115843772888,0.22183966636657715,0.4080236256122589,0.6046812534332275,0.5693308115005493
8,0.7665222883224487,0.6265413761138916,0.09529010206460953,1e-04,0.9547178745269775,0.6595567464828491,0.3680823743343353,0.22898457944393158,0.6168778538703918,0.31275323033332825,0.7242199778556824
9,0.7754522562026978,0.6381781101226807,0.09124598652124405,1e-04,0.9561749696731567,0.6618766784667969,0.5422763228416443,0.37610602378845215,0.20584140717983246,0.8504043817520142,0.6250804662704468
10,0.783210813999176,0.6483607292175293,0.08784212172031403,1e-04,0.9566264748573303,0.6652568578720093,0.6614939570426941,0.4968911409378052,0.13970094919204712,0.8892540335655212,0.6455563306808472
11,0.7768085598945618,0.6411714553833008,0.09195299446582794,1e-04,0.9497289657592773,0.6587243676185608,0.7193840146064758,0.565542459487915,0.11881429702043533,0.9616392850875854,0.5049809217453003
12,0.7616679668426514,0.6201269030570984,0.10263317823410034,1e-04,0.9430915117263794,0.6421953439712524,0.6935649514198303,0.5368047952651978,0.1295289844274521,0.9638717770576477,0.5252007246017456
13,0.7825021743774414,0.647099494934082,0.09164007753133774,1e-04,0.9492699503898621,0.6579384207725525,0.7612515091896057,0.6167351007461548,0.0916997641324997,0.9340949654579163,0.661044180393219
14,0.7968341708183289,0.6662615537643433,0.08338505029678345,1e-04,0.953221321105957,0.6647740006446838,0.7816474437713623,0.6434931755065918,0.08231015503406525,0.9438871741294861,0.6469438076019287
15,0.804517388343811,0.6768462061882019,0.07991614937782288,1e-04,0.9544482231140137,0.6686574816703796,0.7949441075325012,0.6615370512008667,0.0777462050318718,0.942658007144928,0.6550397872924805
16,0.8137335181236267,0.6896294355392456,0.07556680589914322,1e-04,0.9573619365692139,0.673096776008606,0.8055105209350586,0.6763534545898438,0.07361709326505661,0.9500851631164551,0.6427690982818604
17,0.8209012150764465,0.6997337341308594,0.07245872914791107,1e-04,0.9595177173614502,0.6756190061569214,0.8145476579666138,0.6890736222267151,0.07168377935886383,0.9516754746437073,0.6381806135177612
18,0.8265738487243652,0.7078456282615662,0.07010067999362946,1e-04,0.9607512950897217,0.6774671077728271,0.8128365874290466,0.6871199011802673,0.07374715059995651,0.9442485570907593,0.6432837843894958
19,0.8294546008110046,0.7119497656822205,0.06937049329280853,1e-04,0.9609354734420776,0.6762534976005554,0.8215219974517822,0.6990587115287781,0.06935534626245499,0.9451287984848022,0.6555595993995667
20,0.8334268927574158,0.7175235152244568,0.06799426674842834,1e-04,0.9609463214874268,0.6785590648651123,0.8260074853897095,0.7060106992721558,0.06835080683231354,0.9468690752983093,0.6467660069465637
21,0.837760865688324,0.7238094806671143,0.0663699135184288,1e-04,0.9620617032051086,0.6791067123413086,0.8342167735099792,0.717806339263916,0.06932825595140457,0.9352797269821167,0.6660574078559875
22,0.8392114043235779,0.7257780432701111,0.06623124331235886,1e-04,0.9607341289520264,0.6805288791656494,0.8360316753387451,0.7203385233879089,0.06880184262990952,0.9409047961235046,0.6619603037834167
23,0.8431935906410217,0.7316345572471619,0.06520441174507141,1e-04,0.9631359577178955,0.6795360445976257,0.842086136341095,0.7295002937316895,0.06477640569210052,0.9593473076820374,0.6341126561164856
24,0.8477407693862915,0.7383132576942444,0.06294303387403488,1e-04,0.9630491137504578,0.6831147074699402,0.8071689605712891,0.679495096206665,0.07999050617218018,0.9288123846054077,0.6759552359580994
25,0.8530928492546082,0.7462345361709595,0.060728155076503754,1e-04,0.9662141799926758,0.6841587424278259,0.8390172719955444,0.724738597869873,0.06654014438390732,0.9464154839515686,0.6575528383255005
26,0.8590279221534729,0.7552050948143005,0.05850085988640785,1e-04,0.9678789377212524,0.6858183741569519,0.8400697708129883,0.7261675596237183,0.06802140921354294,0.9420245885848999,0.6593605875968933
27,0.8597122430801392,0.7561809420585632,0.058641836047172546,1e-04,0.9674954414367676,0.6856338381767273,0.8498848080635071,0.7408833503723145,0.06770393997430801,0.9400812983512878,0.6635410785675049
28,0.8639602065086365,0.7626736760139465,0.05660281330347061,1e-04,0.9694627523422241,0.686416745185852,0.8476681113243103,0.7378978133201599,0.06771771609783173,0.9406236410140991,0.6660755276679993
29,0.8691256642341614,0.7706322073936462,0.05401645600795746,1e-05,0.9698024988174438,0.6933832168579102,0.8376961350440979,0.7241129875183105,0.07000543922185898,0.9356163144111633,0.659924328327179
30,0.8747607469558716,0.7793943881988525,0.05097278580069542,1e-05,0.9750545620918274,0.6933073997497559,0.8404414653778076,0.7275505065917969,0.06782229989767075,0.9412854313850403,0.656975507736206
31,0.8776235580444336,0.7839099764823914,0.0496487058699131,1e-05,0.9765355587005615,0.6940998435020447,0.843004047870636,0.7310580015182495,0.06686373054981232,0.9443890452384949,0.6554354429244995
32,0.8797730803489685,0.7873159050941467,0.04868842288851738,1e-05,0.9775092601776123,0.6948124766349792,0.8448393940925598,0.7336533665657043,0.06645940989255905,0.9458972215652466,0.6545600295066833
33,0.8816090822219849,0.7902383208274841,0.04785307124257088,1e-05,0.9783424735069275,0.6953925490379333,0.846176028251648,0.7355812788009644,0.06632930785417557,0.9467793703079224,0.6538152098655701
34,0.8834401965141296,0.793179988861084,0.04700866714119911,1e-06,0.9793838858604431,0.6960824728012085,0.8472128510475159,0.7371476292610168,0.0660468339920044,0.9465347528457642,0.6554173231124878
35,0.8836798667907715,0.7935596704483032,0.04679211974143982,1e-06,0.979358434677124,0.696675181388855,0.8473634123802185,0.7373937964439392,0.06604454666376114,0.9467582702636719,0.654760479927063
36,0.8838425278663635,0.7938191294670105,0.04667862504720688,1e-06,0.9794794917106628,0.696659505367279,0.8474715352058411,0.7375678420066833,0.06608784943819046,0.9470021724700928,0.6540150046348572
37,0.8840165734291077,0.794097900390625,0.04658674821257591,1e-06,0.979595959186554,0.6966207027435303,0.8476014137268066,0.7377685308456421,0.06613408774137497,0.9471449851989746,0.6535177826881409
38,0.8842002749443054,0.7943922281265259,0.04650070518255234,1e-06,0.9797006845474243,0.6966103911399841,0.8477301001548767,0.7379645705223083,0.06617816537618637,0.947234570980072,0.6531686782836914
39,0.884365975856781,0.7946590185165405,0.04639832302927971,1e-07,0.979878842830658,0.6965076327323914,0.8478693962097168,0.7381787300109863,0.0662074089050293,0.9471971988677979,0.6531673669815063
40,0.884387731552124,0.7946939468383789,0.046389732509851456,1e-07,0.9798758029937744,0.6965301632881165,0.8479570150375366,0.7383137345314026,0.06622576713562012,0.9471777081489563,0.6531563997268677
41,0.8844097852706909,0.7947289943695068,0.046381063759326935,1e-07,0.9798759818077087,0.69655442237854,0.8480135202407837,0.7384002804756165,0.0662376880645752,0.9471682906150818,0.6531493067741394
42,0.8844314813613892,0.79476398229599,0.04637232795357704,1e-07,0.979877233505249,0.6965798139572144,0.848051905632019,0.7384587526321411,0.06624562293291092,0.9471595287322998,0.6531279683113098
43,0.8844536542892456,0.7947989106178284,0.04636353999376297,1e-07,0.9798766374588013,0.6965964436531067,0.8480785489082336,0.738499104976654,0.06625143438577652,0.9471580982208252,0.6531091928482056
44,0.8844757080078125,0.7948344349861145,0.04635467752814293,1e-07,0.9798821806907654,0.6966149806976318,0.8480985760688782,0.7385292649269104,0.06625596433877945,0.9471627473831177,0.6530885100364685
45,0.8844978213310242,0.7948699593544006,0.04634575918316841,1e-07,0.9798891544342041,0.6966285705566406,0.8481151461601257,0.7385539412498474,0.0662597119808197,0.9471592903137207,0.6530665159225464
46,0.8845201134681702,0.7949058413505554,0.04633675143122673,1e-07,0.979896068572998,0.6966411471366882,0.8481292724609375,0.7385748624801636,0.06626314669847488,0.947165310382843,0.6530529260635376
47,0.8845428228378296,0.794942319393158,0.04632766172289848,1e-07,0.9799016118049622,0.6966520547866821,0.8481415510177612,0.7385932803153992,0.06626659631729126,0.9471700191497803,0.6530328989028931
48,0.884565532207489,0.7949787974357605,0.04631848633289337,1e-07,0.9799101948738098,0.6966652274131775,0.8481532335281372,0.738610565662384,0.06627006083726883,0.9471789598464966,0.6530219316482544
49,0.884588897228241,0.7950161099433899,0.0463092140853405,1e-07,0.9799147248268127,0.696668267250061,0.8481646776199341,0.7386272549629211,0.0662735253572464,0.947187602519989,0.6530187129974365
50,0.8846122622489929,0.7950535416603088,0.046299852430820465,1e-07,0.9799204468727112,0.6966745853424072,0.8481756448745728,0.7386435866355896,0.06627710163593292,0.9471978545188904,0.6530019044876099
51,0.884635865688324,0.7950916886329651,0.04629039391875267,1e-07,0.9799285531044006,0.6966816186904907,0.8481869697570801,0.7386601567268372,0.06628081202507019,0.9472073912620544,0.6529876589775085
52,0.8846599459648132,0.79513019323349,0.04628082364797592,1e-07,0.9799363017082214,0.6966871619224548,0.8481982946395874,0.7386768460273743,0.06628453731536865,0.9472044110298157,0.6529715061187744
53,0.8846845626831055,0.7951691746711731,0.04627116769552231,1e-07,0.9799439907073975,0.6966971158981323,0.8482096195220947,0.73869389295578,0.06628835946321487,0.9472007155418396,0.6529579162597656
54,0.8847091794013977,0.7952090501785278,0.04626141116023064,1e-07,0.9799556732177734,0.696700394153595,0.8482211828231812,0.7387107014656067,0.06629227101802826,0.9472054839134216,0.6529391407966614
55,0.8847341537475586,0.7952491044998169,0.046251580119132996,1e-07,0.979964017868042,0.6967080235481262,0.8482329845428467,0.7387281656265259,0.06629618257284164,0.9472038745880127,0.6529300808906555
56,0.8847594261169434,0.7952896356582642,0.046241652220487595,1e-07,0.9799718260765076,0.6967133283615112,0.8482447266578674,0.7387455701828003,0.06630022078752518,0.94720858335495,0.6529216766357422
57,0.884784996509552,0.795330822467804,0.046231646090745926,1e-07,0.9799817204475403,0.6967183351516724,0.8482565879821777,0.7387629747390747,0.06630434840917587,0.9472189545631409,0.6529061794281006
58,0.8848110437393188,0.7953721880912781,0.04622156545519829,1e-07,0.9799910187721252,0.6967225074768066,0.8482686281204224,0.7387809753417969,0.06630858033895493,0.9472264647483826,0.6528887152671814
59,0.8848372101783752,0.7954142093658447,0.046211399137973785,1e-07,0.9799989461898804,0.6967238783836365,0.84828120470047,0.7387995719909668,0.0663127526640892,0.9472295641899109,0.6528706550598145
60,0.884863555431366,0.7954565286636353,0.04620113968849182,1e-07,0.9800031781196594,0.6967332363128662,0.8482939004898071,0.7388182282447815,0.06631701439619064,0.9472305178642273,0.6528602838516235
61,0.8848901391029358,0.795499324798584,0.04619083181023598,1e-07,0.9800130724906921,0.6967383623123169,0.8483064770698547,0.7388371229171753,0.06632144004106522,0.9472234845161438,0.6528382897377014
62,0.8849170804023743,0.7955424189567566,0.04618043452501297,1e-07,0.9800240993499756,0.6967459917068481,0.8483195304870605,0.7388561964035034,0.06632582098245621,0.9472269415855408,0.6528253555297852
63,0.8849443793296814,0.7955861687660217,0.046169962733983994,1e-07,0.9800350069999695,0.6967500448226929,0.8483325839042664,0.7388756275177002,0.06633029133081436,0.9472341537475586,0.652815043926239
64,0.884971559047699,0.795630156993866,0.04615943506360054,1e-07,0.9800435900688171,0.696755588054657,0.8483456969261169,0.7388949394226074,0.06633484363555908,0.9472333788871765,0.6528046727180481
65,0.8849995732307434,0.7956745624542236,0.04614882543683052,1e-07,0.9800525903701782,0.6967664361000061,0.8483589887619019,0.7389147877693176,0.06633945554494858,0.9472270011901855,0.6527910828590393
66,0.8850275874137878,0.7957194447517395,0.046138159930706024,1e-07,0.9800572991371155,0.6967757940292358,0.848372757434845,0.7389351725578308,0.06634394824504852,0.9472259283065796,0.6527768969535828
67,0.8850555419921875,0.7957646250724792,0.046127401292324066,1e-07,0.9800635576248169,0.6967832446098328,0.8483868837356567,0.7389559745788574,0.06634844094514847,0.9472289085388184,0.6527697443962097
68,0.8850839138031006,0.7958101630210876,0.04611658677458763,1e-07,0.9800793528556824,0.6967926025390625,0.8484009504318237,0.7389770746231079,0.0663529559969902,0.9472337365150452,0.6527510285377502
69,0.8851127028465271,0.7958559393882751,0.04610569775104523,1e-07,0.9800882339477539,0.6967983245849609,0.848415195941925,0.7389979362487793,0.06635754555463791,0.9472393989562988,0.652743935585022
70,0.8851415514945984,0.7959024310112,0.04609474167227745,1e-07,0.9800973534584045,0.6968050599098206,0.8484299778938293,0.7390199899673462,0.06636206060647964,0.9472452402114868,0.6527277231216431
71,0.8851708173751831,0.795949399471283,0.046083714812994,1e-07,0.9801093935966492,0.6968122720718384,0.8484445810317993,0.739041805267334,0.06636670231819153,0.9472424387931824,0.6527025103569031
72,0.8852003216743469,0.7959966659545898,0.046072617173194885,1e-07,0.9801166653633118,0.6968187689781189,0.8484597206115723,0.7390642166137695,0.06637129932641983,0.9472405910491943,0.6526895761489868
73,0.8852300643920898,0.7960442900657654,0.04606145992875099,1e-07,0.9801320433616638,0.6968222260475159,0.8484750390052795,0.7390868663787842,0.06637590378522873,0.9472345113754272,0.6526799201965332
74,0.885259747505188,0.79609215259552,0.04605022817850113,1e-07,0.9801422357559204,0.6968287229537964,0.8484907746315002,0.739109992980957,0.06638053804636002,0.9472299814224243,0.6526676416397095
75,0.8852900862693787,0.7961404323577881,0.04603893682360649,1e-07,0.9801533222198486,0.6968388557434082,0.8485061526298523,0.7391330599784851,0.06638526171445847,0.9472388029098511,0.6526663303375244
76,0.8853204250335693,0.7961889505386353,0.04602758213877678,1e-07,0.9801667928695679,0.6968497037887573,0.8485217690467834,0.7391561269760132,0.0663900226354599,0.9472472071647644,0.6526488661766052
77,0.88535076379776,0.7962377071380615,0.04601617902517319,1e-07,0.9801778197288513,0.6968575716018677,0.848537802696228,0.7391800284385681,0.06639479100704193,0.947258472442627,0.6526449918746948
78,0.8853816390037537,0.7962872385978699,0.04600471258163452,1e-07,0.9801943302154541,0.6968648433685303,0.8485538363456726,0.7392035722732544,0.06639955192804337,0.9472574591636658,0.652631402015686
79,0.8854122757911682,0.7963366508483887,0.04599318280816078,1e-07,0.9802034497261047,0.6968713402748108,0.8485699892044067,0.7392277121543884,0.06640433520078659,0.9472646117210388,0.6526204347610474
80,0.8854435682296753,0.7963865399360657,0.04598161205649376,1e-07,0.9802107810974121,0.6968772411346436,0.8485862612724304,0.7392517924308777,0.0664091408252716,0.9472708702087402,0.6526094079017639
81,0.8854748010635376,0.7964366674423218,0.045969996601343155,1e-07,0.9802182912826538,0.6968837380409241,0.8486029505729675,0.739276647567749,0.06641384959220886,0.9472763538360596,0.6525880694389343
82,0.885506272315979,0.796487033367157,0.045958299189805984,1e-07,0.9802290797233582,0.6968833208084106,0.8486194014549255,0.7393009066581726,0.06641872227191925,0.9472810626029968,0.652579665184021
83,0.8855377435684204,0.7965377569198608,0.04594658687710762,1e-07,0.9802420139312744,0.6968936324119568,0.8486363887786865,0.7393262982368469,0.06642349809408188,0.9472861886024475,0.6525654792785645
84,0.8855695724487305,0.7965888381004333,0.04593482241034508,1e-07,0.980252206325531,0.6969003677368164,0.8486533761024475,0.7393512725830078,0.06642846018075943,0.9472869038581848,0.6525518894195557
85,0.8856013417243958,0.7966399192810059,0.04592299461364746,1e-07,0.9802623987197876,0.6969060897827148,0.8486706614494324,0.7393770217895508,0.06643331795930862,0.9472911357879639,0.6525376439094543
