,Image,Accuracy,F1,Jaccard,Recall,Precision
0,6034456567632f4b48dc3dfbb98534b5953c151990f4235df6c912c0a9c08397.jpg,0.9964599609375,0.9565705728191689,0.9167563688554,0.9530026109660574,0.9601653513716648
1,54cb3328e778d87f76062b0550e3bc190f46384acd8efbe58c297265d1906e84.jpg,0.9881591796875,0.904878646727139,0.826281620774569,0.8670425182053089,0.946167649320687
2,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.jpg,0.97967529296875,0.9551605736214906,0.9141697274308912,0.9363120380147836,0.9747835646557648
3,f35ab34528e3e2d2589d24cbffc0e10024dfc474a68585d0b5feb7b05aa0067f.jpg,0.9982452392578125,0.9640961598501404,0.9306811332127788,0.9668127739511584,0.9613947696139477
4,fa73f24532b3667718ede7ac5c2e24ad7d3cae17b0a42ed17bbb81b15c28f4ae.jpg,0.9985809326171875,0.9111747851002865,0.8368421052631579,0.8833333333333333,0.9408284023668639
5,2cfa61bef6542dd359717e9131ce6f076c415a3bd7f48cb093b0d7f3b2ca785d.jpg,0.9825439453125,0.9540229885057472,0.9120879120879121,0.9305370442963544,0.9787251587367032
6,0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.jpg,0.9969329833984375,0.7859424920127795,0.6473684210526316,0.6589285714285714,0.9736147757255936
7,4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.jpg,0.884063720703125,0.8543048897411315,0.7456651268661713,0.9503412969283277,0.775896900034831
8,6d327ab4f0e3604fa6e9b8041c7e6db86ab809890d886c691f6e59c9168b7fbe.jpg,0.9471435546875,0.9062313897460884,0.828540315794684,0.9546050755631594,0.8625238316071521
9,7c0157913223365720209ac83ff2e0b1b2b460173acd615c67646014093a2b97.jpg,0.9794464111328125,0.9707205738506683,0.9431069437404968,0.965536625443224,0.9759604877835569
10,8f6597cd978c060378177df76e554d0578b97eab471e237dbe0adc0dd0d93d63.jpg,0.998291015625,0.9309494451294698,0.8708189158016147,0.9129383313180169,0.949685534591195
11,1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5.jpg,0.9923248291015625,0.9561961159975617,0.9160687468713499,0.9674008810572687,0.9452479338842975
12,aa83f5b4fca02ae43a6b9456ab42707b0beabc6e7c5c4e66c0d2572fb80f3615.jpg,0.9986724853515625,0.966028894962905,0.9342900302114804,0.9848726114649682,0.9478927203065134
13,97126a9791f0c1176e4563ad679a301dac27c59011f579e808bbd6e9f4cd1034.jpg,0.9797210693359375,0.9634196691530649,0.9294211364843336,0.9388948497854077,0.989260075744729
14,54fe2d3416951cbc48f8718624c86a7ae58b6022a7fa75591b13f625cf53658b.jpg,0.9960479736328125,0.9616353132869205,0.9261055634807418,0.9502341920374707,0.9733133433283359
15,9a71a416f98971aa14f63ef91242654cc9191a1414ce8bbd38066fe94559aa4f.jpg,0.9989013671875,0.9769082745349582,0.954858934169279,0.9863989637305699,0.9675984752223634
16,ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1.jpg,0.976531982421875,0.9166034052705779,0.846046046046046,0.9010660980810234,0.9326859412933127
17,e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c.jpg,0.9446563720703125,0.9089768363992271,0.8331416478814924,0.9175195055223427,0.9005917748271918
18,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd.jpg,0.9732666015625,0.9591836734693877,0.9215686274509803,0.9358974358974359,0.9836582568807339
19,b1eb0123fe2d8c825694b193efb7b923d95effac9558ee4eaf3116374c2c94fe.jpg,0.9491729736328125,0.8367236900151953,0.7192819821338278,0.908752129471891,0.7752747751839404
20,f9ac03b0344ce8c48bc058448541f9211a1e5f4c94fdaf633dd534328d8610ab.jpg,0.9969635009765625,0.9684977046066171,0.9389195825659914,0.9867741935483871,0.9508859185576625
21,ed4b8e0d756836be7acb2e2b7799c473b52424e3092a71d3c6d23558e500dc4c.jpg,0.988128662109375,0.9481471607571313,0.9014066658218224,0.9484,0.9478944562899787
22,28d33efef218392e79e385906deb88055d94b65ad217de78c07e85476f80f45a.jpg,0.9813690185546875,0.9709900449048444,0.9436157931193719,0.9838701911502721,0.9584427767354596
23,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.jpg,0.9767608642578125,0.9555523128556835,0.9148876718453113,0.9303819049784042,0.982122502849601
