,Image,Accuracy,F1,Jaccard,Recall,Precision
0,6034456567632f4b48dc3dfbb98534b5953c151990f4235df6c912c0a9c08397.jpg,0.9958343505859375,0.9495658599667468,0.9039746746394653,0.958597538232003,0.9407027818448024
1,54cb3328e778d87f76062b0550e3bc190f46384acd8efbe58c297265d1906e84.jpg,0.981597900390625,0.8425176286236615,0.7278880866425993,0.757810664787409,0.9485445457218465
2,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.jpg,0.972625732421875,0.9379109849795806,0.8830813347236705,0.8942713833157339,0.9860282346092272
3,f35ab34528e3e2d2589d24cbffc0e10024dfc474a68585d0b5feb7b05aa0067f.jpg,0.9979705810546875,0.9590643274853801,0.9213483146067416,0.9755792110206637,0.9430992736077481
4,fa73f24532b3667718ede7ac5c2e24ad7d3cae17b0a42ed17bbb81b15c28f4ae.jpg,0.9963531494140625,0.7311586051743534,0.5762411347517731,0.6018518518518519,0.9312320916905444
5,2cfa61bef6542dd359717e9131ce6f076c415a3bd7f48cb093b0d7f3b2ca785d.jpg,0.976226806640625,0.9357260726072608,0.8792154430576014,0.8891415131321051,0.9874619068350021
6,0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.jpg,0.9964141845703125,0.7385984427141268,0.5855379188712522,0.5928571428571429,0.9793510324483776
7,4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.jpg,0.853912353515625,0.8236767468415042,0.7002129258517034,0.9540102389078499,0.7246743146023722
8,6d327ab4f0e3604fa6e9b8041c7e6db86ab809890d886c691f6e59c9168b7fbe.jpg,0.941558837890625,0.8957369194751457,0.811162607237945,0.9382378100940976,0.8569196312307933
9,7c0157913223365720209ac83ff2e0b1b2b460173acd615c67646014093a2b97.jpg,0.9672088623046875,0.9517111205986114,0.9078710451856298,0.9157225633486119,0.9906441502549469
10,8f6597cd978c060378177df76e554d0578b97eab471e237dbe0adc0dd0d93d63.jpg,0.99755859375,0.8938992042440319,0.8081534772182254,0.814993954050786,0.9897209985315712
11,1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5.jpg,0.9903411865234375,0.9445660740870478,0.8949551941586459,0.9503083700440529,0.9388927576601671
12,aa83f5b4fca02ae43a6b9456ab42707b0beabc6e7c5c4e66c0d2572fb80f3615.jpg,0.99847412109375,0.9613601236476044,0.9255952380952381,0.9904458598726115,0.933933933933934
13,97126a9791f0c1176e4563ad679a301dac27c59011f579e808bbd6e9f4cd1034.jpg,0.969940185546875,0.9443817052512705,0.8946242310778283,0.8972639484978541,0.9967222884386174
14,54fe2d3416951cbc48f8718624c86a7ae58b6022a7fa75591b13f625cf53658b.jpg,0.9947662353515625,0.9493577439834637,0.9035975267003935,0.9411592505854801,0.957700327673518
15,9a71a416f98971aa14f63ef91242654cc9191a1414ce8bbd38066fe94559aa4f.jpg,0.9981231689453125,0.9610142630744849,0.924954240390482,0.9818652849740933,0.9410304158907511
16,ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1.jpg,0.974273681640625,0.9073015174840554,0.8303310858407971,0.879637526652452,0.9367620345140781
17,e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c.jpg,0.8647613525390625,0.712137451687291,0.5529607585998184,0.5554260816698754,0.9920369197357706
18,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd.jpg,0.9663238525390625,0.9475859120811267,0.9003926524348964,0.9069830878341517,0.9919944309084581
19,b1eb0123fe2d8c825694b193efb7b923d95effac9558ee4eaf3116374c2c94fe.jpg,0.9463348388671875,0.8251031876274304,0.7022771522898502,0.883304940374787,0.7740972287020621
20,f9ac03b0344ce8c48bc058448541f9211a1e5f4c94fdaf633dd534328d8610ab.jpg,0.9961395263671875,0.9602138701053624,0.9234724742891712,0.9848387096774194,0.9367904265111997
21,ed4b8e0d756836be7acb2e2b7799c473b52424e3092a71d3c6d23558e500dc4c.jpg,0.9826507568359375,0.9202273205640917,0.8522417153996101,0.8744,0.9711239449133718
22,28d33efef218392e79e385906deb88055d94b65ad217de78c07e85476f80f45a.jpg,0.98150634765625,0.9707005753517381,0.9430691906618441,0.9666811112716067,0.9747536048939166
23,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.jpg,0.970062255859375,0.9415270906598319,0.8895145849757856,0.8977040236417367,0.9898483519237999
24,e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf.jpg,0.99896240234375,0.9720394736842104,0.9456,0.9907795473595976,0.9539951573849879
25,2227fd9b01d67c2bcdb407d3205214e6dfeff9fd0725828e3b3651959942ff4a.jpg,0.9732513427734375,0.7967536231884058,0.6621699749470032,0.6952650748684743,0.9329351072495249
26,c00ae67f72816daee468474026e30705003b2d3501f123579a4f0a6366b66aa1.jpg,0.985504150390625,0.9188588998975059,0.8498972981513667,0.9693638493422239,0.873356064296152
27,3852c7e45bd885b9537e276861ab50b99bb42f0f8e717d2f88174c62862ca3ff.jpg,0.9830474853515625,0.8425676633130226,0.7279627815866797,0.7532303014948062,0.9559485530546624
28,3ebd2ab34ba86e515feb79ffdeb7fc303a074a98ba39949b905dbde3ff4b7ec0.jpg,0.96783447265625,0.9271646741759381,0.864219001610306,0.8729342875731946,0.9885794282346007
29,538b7673d507014d83af238876e03617396b70fe27f525f8205a4a96900fbb8e.jpg,0.8364715576171875,0.45695464910058264,0.296138184684093,0.9372271876948659,0.30213079603323506
30,93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77.jpg,0.9998321533203125,0.9452736318407962,0.8962264150943396,0.9693877551020408,0.9223300970873787
31,58c593bcb98386e7fd42a1d34e291db93477624b164e83ab2afa3caa90d1d921.jpg,0.9940643310546875,0.6523681858802501,0.48408488063660476,0.6083333333333333,0.7032755298651252
32,d6a880b1f6056f3086679de5c810e7af87cdf3bbbd0533a83e3681817fce40fc.jpg,0.9582366943359375,0.9102828858950406,0.8353387077367345,0.8638710881602688,0.9619648053207704
33,a02ec007ae8feddb758078b1dfb8010c26886fd3c8babdc308ead8b4a63acbdb.jpg,0.9914398193359375,0.9493910690121786,0.9036579082946935,0.9366322534709861,0.9625022864459484
34,358e47eaa1e9222252793fe0fb8c77028d4e0d4360b95a07c9fe6df6a2066556.jpg,0.942657470703125,0.8883209509658246,0.7990804106073567,0.928207676065085,0.8517209938454525
35,693bc64581275f04fc456da74f031d583733360a1f6032fa38b3fbf592ff4352.jpg,0.90283203125,0.7933541017653167,0.657487091222031,0.6633743962663483,0.9866817337961095
36,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.jpg,0.9842071533203125,0.878763031509898,0.7837442540743836,0.8251209854817422,0.9398646955650213
37,1ee4a111f0e0bb9b001121b94ff98ca736fad03797b25285fe33a47046b3e4b0.jpg,0.99676513671875,0.9429186860527732,0.8920020376974019,0.9328716036228023,0.9531845400108874
38,0bf4b144167694b6846d584cf52c458f34f28fcae75328a2a096c8214e01c0d0.jpg,0.950958251953125,0.9056260277190509,0.8275288435739201,0.8461918349429324,0.9740399191510865
39,2ad489c11ed8b77a9d8a2339ac64ffc38e79281c03a2507db4688fd3186c0fe5.jpg,0.9982147216796875,0.9583481666073336,0.9200273410799726,0.987527512839325,0.9308437067773168
40,da79a2b105f055ce75404a04bf53bbb51d518d9381af7b4ac714c137f101d920.jpg,0.98590087890625,0.8438133874239351,0.7298245614035088,0.7602802314955833,0.9479680972274972
41,c53326fe49fc26b7fe602b9d8c0c2da2cb157690b44c2b9351a93f8d9bd8043d.jpg,0.971832275390625,0.8636430787413207,0.7600104004160166,0.7868102288021535,0.9571054354944335
42,e81c758e1ca177b0942ecad62cf8d321ffc315376135bcbed3df932a6e5b40c0.jpg,0.9020843505859375,0.8267875941371773,0.7047211485367201,0.7368294443108011,0.9417660804329111
43,5b0bde771bc67c505d1b59405cbcad0a2766ec3ee4e35852e959552c1b454233.jpg,0.9976043701171875,0.8872936109117013,0.7974193548387096,0.906158357771261,0.869198312236287
44,319b6cb8b0d24b38db5e3c6fbb13b062e2766d9af5ff9bccb8f439ac0d870e52.jpg,0.988250732421875,0.8927875243664717,0.8063380281690141,0.8468040147913365,0.9440518256772674
45,7978812d0e2e034ee1f9c141f019705582fcaa290e4a01c6c75a62753285cb23.jpg,0.9800872802734375,0.9685595200809503,0.9390357843595254,0.9465084522295993,0.99166255550074
46,4ee5850b63549794eb3ecd3d5f5673164ac16936e36ecc3700da886e3b616149.jpg,0.9432830810546875,0.8251892959601186,0.7024019215372298,0.7073288720470854,0.9901805869074493
47,670ebd9d674be236b9bf0b28650ad3f68e1891b06e16a9021fd069ca7ef32b78.jpg,0.9846343994140625,0.970144386136559,0.9420198065407647,0.9625250029415225,0.9778853625007471
48,4327d27591871e9c8d317071a390d1b3dcedad05a9746175b005c41ea0d797b2.jpg,0.98455810546875,0.9710890183978974,0.9438027543314083,0.960931757788206,0.9814633019576139
49,6c67b78e8164801059375ed9a607f61e67a7ae347e92e36a7f20514224541d56.jpg,0.9219818115234375,0.8581731436021193,0.7515790496550384,0.9473329658889093,0.784352499746476
50,6fb82031f7fc5f4fa6e0bc2ef3421db19036b5c2cdd2725009ab465d66d61d72.jpg,0.9936065673828125,0.7963052989790959,0.6615508885298869,0.6735197368421053,0.9738406658739596
51,33618678c167c5e07be02c49d0c43bcd90493ba5d83110a631409a4d3ccc1e51.jpg,0.9782562255859375,0.9527598209845848,0.9097815764482431,0.9249485066941298,0.9822954405632648
