epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.49023064970970154,0.33614382147789,0.3157731592655182,1e-04,0.7199366688728333,0.6346826553344727,0.1850920170545578,0.10352949798107147,0.5591579675674438,0.10707872360944748,0.036857180297374725
1,0.6344985961914062,0.4738888740539551,0.1692311316728592,1e-04,0.917951226234436,0.6158232092857361,0.18316660821437836,0.10183268785476685,0.397363543510437,0.08273877203464508,0.02621193416416645
2,0.6852723956108093,0.5304508209228516,0.13669522106647491,1e-04,0.9355300664901733,0.6279593110084534,0.2932278513908386,0.17419254779815674,0.44583433866500854,0.3397347927093506,0.36544254422187805
3,0.7062100172042847,0.5545045733451843,0.12502892315387726,1e-04,0.9372633695602417,0.6328701972961426,0.422537237405777,0.2746347188949585,0.4315638840198517,0.45537176728248596,0.621116578578949
4,0.7290523052215576,0.582159161567688,0.11221948266029358,1e-04,0.9428046345710754,0.6407191157341003,0.5574049949645996,0.39824745059013367,0.21144354343414307,0.5536110997200012,0.6603084206581116
5,0.7497168183326721,0.60771244764328,0.10146155208349228,1e-04,0.9459734559059143,0.6504766941070557,0.6689003109931946,0.5144326686859131,0.13396276533603668,0.8736602067947388,0.6684508919715881
6,0.7665746212005615,0.6290439367294312,0.09368162602186203,1e-04,0.9508389234542847,0.6557137966156006,0.72291100025177,0.5757397413253784,0.11100299656391144,0.9045410752296448,0.6548205614089966
7,0.7789134383201599,0.6449079513549805,0.0888480469584465,1e-04,0.9525822401046753,0.6584791541099548,0.753005862236023,0.6125257015228271,0.10014021396636963,0.9130982756614685,0.6511411666870117
8,0.7910675406455994,0.6608511805534363,0.08337623625993729,1e-04,0.9551433324813843,0.6629283428192139,0.7737013697624207,0.6383946537971497,0.09198550879955292,0.9256635904312134,0.6356766223907471
9,0.801030158996582,0.6741552948951721,0.0794646292924881,1e-04,0.9566011428833008,0.6651462912559509,0.7839285731315613,0.6515668034553528,0.08926041424274445,0.9266641736030579,0.6350953578948975
10,0.8098906874656677,0.6860636472702026,0.07631994783878326,1e-04,0.9579917192459106,0.6681436896324158,0.7849504351615906,0.6538573503494263,0.0897999107837677,0.9237667322158813,0.6376032829284668
11,0.815845251083374,0.6942848563194275,0.07426967471837997,1e-04,0.9582958221435547,0.6679580211639404,0.7886684536933899,0.658662736415863,0.08999873697757721,0.9223565459251404,0.636534571647644
12,0.8246471881866455,0.706535279750824,0.07074739784002304,1e-04,0.9599130749702454,0.6715865135192871,0.795504629611969,0.6684688329696655,0.0887879803776741,0.9186079502105713,0.6424536108970642
13,0.8324512243270874,0.7173891663551331,0.0677427127957344,1e-04,0.9624695181846619,0.6729153394699097,0.8088200688362122,0.6854602098464966,0.08132170140743256,0.9207834601402283,0.6566929817199707
14,0.8374568223953247,0.7245234847068787,0.06623698025941849,1e-04,0.9626895189285278,0.6746715903282166,0.8109862804412842,0.688786506652832,0.07969477772712708,0.9326572418212891,0.6434822678565979
15,0.8409367799758911,0.7293785810470581,0.0653819590806961,1e-04,0.9628487825393677,0.6742315292358398,0.8106065988540649,0.6881275177001953,0.08034020662307739,0.9321407079696655,0.6351929903030396
16,0.8362387418746948,0.7252169251441956,0.06905006617307663,1e-04,0.9573708772659302,0.670202910900116,0.7938583493232727,0.6666731834411621,0.13046643137931824,0.8805403113365173,0.6346266269683838
17,0.7795542478561401,0.6447417736053467,0.0998363196849823,1e-04,0.9356831908226013,0.6375105977058411,0.7785939574241638,0.6499689817428589,0.11035898327827454,0.8807801604270935,0.6517773270606995
18,0.8142568469047546,0.6917088627815247,0.08078126609325409,1e-04,0.9463316202163696,0.6588447093963623,0.796798586845398,0.6696698069572449,0.08374249935150146,0.9171454906463623,0.6615704298019409
19,0.8336526155471802,0.718784511089325,0.0715683177113533,1e-04,0.9516239166259766,0.6681327819824219,0.8097338080406189,0.6859850883483887,0.07631877064704895,0.9314273595809937,0.6524826884269714
20,0.8437788486480713,0.7333003878593445,0.0669400691986084,1e-04,0.9569026827812195,0.6721360087394714,0.822787344455719,0.7037749886512756,0.072550930082798,0.936733603477478,0.6499993801116943
21,0.8511813879013062,0.7440522909164429,0.06376273930072784,1e-04,0.9601702690124512,0.6748653054237366,0.8250678777694702,0.7070536613464355,0.07195517420768738,0.9393684267997742,0.6484107971191406
22,0.8570892214775085,0.7528414726257324,0.061266038566827774,1e-04,0.9625000953674316,0.6767947673797607,0.8278546929359436,0.7111319303512573,0.07117526233196259,0.9378716349601746,0.6533794403076172
23,0.8578292727470398,0.7539101839065552,0.06124262511730194,1e-04,0.9619737863540649,0.6761320233345032,0.8285810351371765,0.7126883864402771,0.07051273435354233,0.942863941192627,0.6451141238212585
24,0.863564133644104,0.7623754739761353,0.05925052613019943,1e-04,0.9642748832702637,0.6780928373336792,0.8373605608940125,0.7244153022766113,0.06829826533794403,0.9416626691818237,0.6497685313224792
25,0.866382360458374,0.7666986584663391,0.05813057720661163,1e-04,0.9650562405586243,0.678803563117981,0.8341356515884399,0.7197702527046204,0.06983612477779388,0.9358541369438171,0.6526727676391602
26,0.8707885146141052,0.7733690142631531,0.05623699724674225,1e-04,0.9668084383010864,0.6802573204040527,0.8351519703865051,0.7209762930870056,0.06976567208766937,0.9379487633705139,0.655125081539154
27,0.8751773834228516,0.7800312638282776,0.05451296269893646,1e-04,0.969018816947937,0.6818628907203674,0.8378583192825317,0.72484290599823,0.06870367377996445,0.9423474073410034,0.6463606357574463
