epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.43784087896347046,0.28733882308006287,0.3755071461200714,1e-04,0.6444048285484314,0.6646777391433716,0.1982257068157196,0.11072665452957153,0.7155693769454956,0.17704957723617554,0.9985859990119934
1,0.5906289219856262,0.4247554838657379,0.20734168589115143,1e-04,0.8824165463447571,0.6300013661384583,0.1950748860836029,0.10869452357292175,0.5867853760719299,0.15949106216430664,0.052435506135225296
2,0.6539602279663086,0.492127388715744,0.15906044840812683,1e-04,0.9259563088417053,0.6277924180030823,0.19991837441921234,0.1116233617067337,0.5031806826591492,0.12943001091480255,0.028979117050766945
3,0.6833334565162659,0.5247160792350769,0.14134036004543304,1e-04,0.9371885657310486,0.6278997659683228,0.2245786488056183,0.12706142663955688,0.4241945147514343,0.5380046963691711,0.11262235790491104
4,0.7144404649734497,0.5617406368255615,0.12306353449821472,1e-04,0.9454944133758545,0.6436939835548401,0.2750464081764221,0.1606084406375885,0.47370222210884094,0.6640486121177673,0.44451799988746643
5,0.7322883605957031,0.5833553671836853,0.11315299570560455,1e-04,0.9491897821426392,0.6495879292488098,0.2784597873687744,0.1632893830537796,0.6819998621940613,0.30400678515434265,0.6185911893844604
6,0.7446932792663574,0.5987579226493835,0.10640931874513626,1e-04,0.9510913491249084,0.6521082520484924,0.3112781345844269,0.186181902885437,0.6641694903373718,0.39101627469062805,0.660047173500061
7,0.7553431987762451,0.6123243570327759,0.10100477933883667,1e-04,0.9520804286003113,0.6562644243240356,0.4000222682952881,0.2519478499889374,0.3377235233783722,0.6235619187355042,0.5209025740623474
8,0.7650639414787292,0.6246278285980225,0.09621244668960571,1e-04,0.953603208065033,0.6583364605903625,0.46346786618232727,0.3043500483036041,0.2917495667934418,0.7061824202537537,0.6154813766479492
9,0.7746344804763794,0.637086033821106,0.09159418195486069,1e-04,0.9550272226333618,0.6623979210853577,0.5656159520149231,0.39736208319664,0.1948368102312088,0.8301178216934204,0.639567494392395
10,0.7833864092826843,0.6486470103263855,0.08745671063661575,1e-04,0.9568977952003479,0.6649071574211121,0.643135666847229,0.47681039571762085,0.15508806705474854,0.8696590065956116,0.6414476037025452
11,0.7912227511405945,0.6590865850448608,0.08414144814014435,1e-04,0.9575128555297852,0.6674797534942627,0.7321301698684692,0.579256534576416,0.09908929467201233,0.9447900056838989,0.6221607327461243
12,0.7959523797035217,0.6655007004737854,0.08258756995201111,1e-04,0.957554280757904,0.6682204604148865,0.7631025910377502,0.619024395942688,0.08959776163101196,0.942084014415741,0.6478373408317566
13,0.8006811738014221,0.6718456149101257,0.08085315674543381,1e-04,0.9580996632575989,0.6674505472183228,0.7880291938781738,0.6523841023445129,0.08227566629648209,0.9438583850860596,0.6379291415214539
14,0.8051208853721619,0.6779128313064575,0.07900562882423401,1e-04,0.9567720293998718,0.670549750328064,0.7789158225059509,0.6402719020843506,0.09823155403137207,0.907066822052002,0.6910797357559204
15,0.8126343488693237,0.6880946159362793,0.07593153417110443,1e-04,0.9603700041770935,0.6712245941162109,0.804567813873291,0.6756168603897095,0.07811025530099869,0.9380359649658203,0.6616868376731873
16,0.8211056590080261,0.700057327747345,0.07209677249193192,1e-04,0.9627369046211243,0.6757311224937439,0.8187873363494873,0.6953731179237366,0.06990683078765869,0.9498090147972107,0.6461679935455322
17,0.8260732293128967,0.7072029113769531,0.0703674852848053,1e-04,0.9622684121131897,0.6791701316833496,0.8113770484924316,0.6846409440040588,0.07481925934553146,0.9452571868896484,0.6464802622795105
18,0.8276768922805786,0.7096396684646606,0.0700528472661972,1e-04,0.9618919491767883,0.6757358908653259,0.7644651532173157,0.6211327314376831,0.09633397310972214,0.9225306510925293,0.6768203377723694
19,0.8060616850852966,0.6791226863861084,0.08346115052700043,1e-04,0.9478619694709778,0.6631812453269958,0.7472632527351379,0.6011732816696167,0.11995190382003784,0.9776902198791504,0.509011447429657
20,0.8174272179603577,0.6947053670883179,0.07698459178209305,1e-04,0.9543656706809998,0.6694073677062988,0.7934556007385254,0.6592874526977539,0.08100413531064987,0.9402776956558228,0.6509491205215454
21,0.8335825800895691,0.7176769971847534,0.06835130602121353,1e-04,0.9601790308952332,0.6775030493736267,0.8165173530578613,0.6921001672744751,0.07309683412313461,0.9377524256706238,0.6599346995353699
22,0.8407240509986877,0.728219211101532,0.06500477343797684,1e-05,0.9642201662063599,0.6810528039932251,0.808972179889679,0.6842331290245056,0.08045756071805954,0.8918563723564148,0.6674138307571411
23,0.8451279401779175,0.7347306609153748,0.06239205598831177,1e-05,0.9668206572532654,0.683210015296936,0.8131342530250549,0.6897130012512207,0.07856951653957367,0.9016292691230774,0.6667491793632507
24,0.8472530841827393,0.737887442111969,0.06136498227715492,1e-05,0.9683377146720886,0.6838070750236511,0.8163757920265198,0.6938759088516235,0.07685590535402298,0.9115127325057983,0.6650035381317139
25,0.8491712808609009,0.7407538294792175,0.060506198555231094,1e-05,0.969301164150238,0.6847712993621826,0.8187170028686523,0.6969225406646729,0.07601015269756317,0.9170455932617188,0.6642535924911499
26,0.8509693741798401,0.7434524893760681,0.059703197330236435,1e-05,0.970173180103302,0.6856873035430908,0.8203023672103882,0.6990131139755249,0.07566827535629272,0.9197291731834412,0.6638533473014832
27,0.8532463312149048,0.7469151616096497,0.05880533903837204,1e-06,0.9711557626724243,0.6867139339447021,0.8213237524032593,0.70029217004776,0.07438855618238449,0.924245297908783,0.6633956432342529
28,0.8533708453178406,0.7470943927764893,0.058597709983587265,1e-06,0.9713637828826904,0.6871408820152283,0.8214855194091797,0.7004714012145996,0.07404471188783646,0.9254665970802307,0.6631234288215637
29,0.853498637676239,0.7472839951515198,0.05847735330462456,1e-06,0.9715278744697571,0.6872684359550476,0.8215201497077942,0.7005065083503723,0.07397942990064621,0.9256760478019714,0.6630244851112366
30,0.8536592125892639,0.7475256323814392,0.05837629735469818,1e-06,0.9716686606407166,0.6872917413711548,0.8215484023094177,0.7005454897880554,0.07399582862854004,0.925660252571106,0.66285640001297
31,0.8538408279418945,0.7477998733520508,0.058280929923057556,1e-06,0.9718031287193298,0.6873148679733276,0.8215784430503845,0.7005915641784668,0.07404214143753052,0.9254918098449707,0.66275554895401
32,0.8540551662445068,0.7481259107589722,0.0581677109003067,1e-07,0.9719878435134888,0.6873391270637512,0.8216854929924011,0.7007406949996948,0.07403992116451263,0.9254432320594788,0.6629229784011841
33,0.8540748953819275,0.7481560111045837,0.05815817415714264,1e-07,0.9719990491867065,0.6873507499694824,0.8217496871948242,0.7008301019668579,0.07403985410928726,0.9254280924797058,0.6630180478096008
34,0.8540952801704407,0.7481868267059326,0.058148518204689026,1e-07,0.9720074534416199,0.6873632073402405,0.8217892646789551,0.7008850574493408,0.07404091954231262,0.9254095554351807,0.6630645990371704
35,0.854115903377533,0.7482181787490845,0.05813873931765556,1e-07,0.9720167517662048,0.6873723268508911,0.8218145966529846,0.7009201645851135,0.07404273748397827,0.9253860712051392,0.6630794405937195
36,0.8541372418403625,0.748250424861908,0.05812883749604225,1e-07,0.9720216393470764,0.6873838305473328,0.821831226348877,0.7009433507919312,0.07404502481222153,0.9253584146499634,0.6630865931510925
37,0.8541589379310608,0.7482830882072449,0.05811881646513939,1e-07,0.9720327854156494,0.6873929500579834,0.8218436241149902,0.7009605765342712,0.0740472748875618,0.9253636598587036,0.6630891561508179
38,0.8541809320449829,0.7483168244361877,0.05810864642262459,1e-07,0.9720377922058105,0.6874074935913086,0.8218540549278259,0.7009749412536621,0.07404953241348267,0.9253701567649841,0.6630794405937195
39,0.8542037010192871,0.7483510971069336,0.05809837952256203,1e-07,0.972048819065094,0.6874136328697205,0.8218632936477661,0.7009879350662231,0.07405176013708115,0.9253635406494141,0.6630639433860779
40,0.8542268872261047,0.7483858466148376,0.05808795988559723,1e-07,0.9720587134361267,0.6874250769615173,0.8218712210655212,0.7009990811347961,0.07405432313680649,0.9253568649291992,0.6630555391311646
41,0.8542503714561462,0.7484216690063477,0.05807739496231079,1e-07,0.9720691442489624,0.6874357461929321,0.82187819480896,0.7010089755058289,0.07405734807252884,0.9253448843955994,0.6630451679229736
42,0.854274570941925,0.7484580874443054,0.05806673318147659,1e-07,0.9720779657363892,0.6874409317970276,0.821885347366333,0.7010191082954407,0.07406040281057358,0.9253436326980591,0.6630328893661499
43,0.8542990684509277,0.7484949231147766,0.05805595964193344,1e-07,0.9720903635025024,0.6874479651451111,0.8218926191329956,0.7010294198989868,0.07406346499919891,0.925334095954895,0.6630135178565979
44,0.8543239831924438,0.7485330104827881,0.05804508179426193,1e-07,0.9721001982688904,0.6874582767486572,0.8218998312950134,0.7010396718978882,0.07406666874885559,0.9253306984901428,0.6630051136016846
45,0.8543490171432495,0.7485709190368652,0.05803406611084938,1e-07,0.9721090197563171,0.6874693632125854,0.8219075798988342,0.7010507583618164,0.07406991720199585,0.9253270030021667,0.6629934906959534
46,0.8543745875358582,0.7486097812652588,0.05802295356988907,1e-07,0.9721186757087708,0.6874812245368958,0.821915328502655,0.7010617256164551,0.07407336682081223,0.9253188967704773,0.6629876494407654
47,0.8544008731842041,0.7486492991447449,0.05801176279783249,1e-07,0.9721293449401855,0.6874918937683105,0.8219231963157654,0.7010727524757385,0.07407698035240173,0.9253126382827759,0.6629760265350342
48,0.8544270992279053,0.7486891150474548,0.05800044909119606,1e-07,0.9721408486366272,0.6875029802322388,0.8219311237335205,0.7010841965675354,0.07408075034618378,0.9252983927726746,0.6629676222801208
